"NMI","METER SERIAL NUMBER","CON/GEN","DATE","ESTIMATED?","00:00 - 00:30","00:30 - 01:00","01:00 - 01:30","01:30 - 02:00","02:00 - 02:30","02:30 - 03:00","03:00 - 03:30","03:30 - 04:00","04:00 - 04:30","04:30 - 05:00","05:00 - 05:30","05:30 - 06:00","06:00 - 06:30","06:30 - 07:00","07:00 - 07:30","07:30 - 08:00","08:00 - 08:30","08:30 - 09:00","09:00 - 09:30","09:30 - 10:00","10:00 - 10:30","10:30 - 11:00","11:00 - 11:30","11:30 - 12:00","12:00 - 12:30","12:30 - 13:00","13:00 - 13:30","13:30 - 14:00","14:00 - 14:30","14:30 - 15:00","15:00 - 15:30","15:30 - 16:00","16:00 - 16:30","16:30 - 17:00","17:00 - 17:30","17:30 - 18:00","18:00 - 18:30","18:30 - 19:00","19:00 - 19:30","19:30 - 20:00","20:00 - 20:30","20:30 - 21:00","21:00 - 21:30","21:30 - 22:00","22:00 - 22:30","22:30 - 23:00","23:00 - 23:30","23:30 - 00:00"
6407368008,1109087,Consumption,01/03/2017,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.25,0.287,0.713,0.637,0.675,0.5,0.013,0.013,0.013
6407368008,1109087,Consumption,02/03/2017,No,0.013,0.013,0.013,0.025,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.025,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.025,0.013,0.037,0.113,0.212,0.113,0.113,0.1,0.113,0.113,0.113,0.087,0.025,0.05,0.013,0.013,0.013,0.013,0.013,0.025
6407368008,1109087,Consumption,03/03/2017,No,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.025,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.025,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.025,0.188,0.2,0.188,0.188,0.013,0.125,0.188,0.025,0.013,0.025,0.013,0.013,0.013
6407368008,1109087,Consumption,04/03/2017,No,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.025,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.025,0.013,0.013,0.063,0.063,0.063,0.075,0.063,0.05,0.013,0.013,0.013,0.025,0.013,0.025,0.05,0.025,0.013,0.025,0.013,0.013,0.1,0.512,0.325,0.125,0.188,0.275,0.212,0.15
6407368008,1109087,Consumption,05/03/2017,No,0.138,0.125,0.037,0.025,0.013,0.013,0.025,0.013,0.025,0.013,0.013,0.025,0.013,0.025,0.013,0.013,0.025,0.013,0.125,0.037,0.037,0.3,0.05,0.037,0.013,0.013,0.025,0.013,0.013,0.025,0.013,0.013,0.025,0.013,0.013,0.025,0.013,0.05,0.05,0.063,0.1,0.212,0.113,0.013,0.025,0.013,0.013,0.025
6407368008,1109087,Consumption,06/03/2017,No,0.013,0.025,0.013,0.013,0.025,0.013,0.013,0.025,0.013,0.013,0.025,0.013,0.013,0.025,0.013,0.025,0.013,0.013,0.025,0.013,0.063,0.075,0.237,0.237,0.225,0.237,0.287,0.325,0.025,0.013,0.013,0.025,0.013,0.025,0.013,0.037,0.15,0.125,0.138,0.075,0.087,0.113,0.15,0.125,0.05,0.05,0.025,0.05
6407368008,1109087,Consumption,07/03/2017,No,0.037,0.025,0.05,0.037,0.025,0.05,0.037,0.025,0.037,0.05,0.013,0.037,0.05,0.025,0.025,0.05,0.013,0.037,0.037,0.025,0.113,0.075,0.138,0.05,0.037,0.05,0.037,0.087,0.05,0.075,0.025,0.05,0.225,0.075,0.063,0.3,0.125,0.287,0.287,0.237,0.275,0.6,0.475,0.25,0.138,0.1,0.087,0.05
6407368008,1109087,Consumption,08/03/2017,No,0.037,0.063,0.037,0.05,0.025,0.05,0.037,0.037,0.037,0.037,0.037,0.025,0.05,0.025,0.05,0.025,0.1,0.113,0.063,0.188,0.125,0.025,0.05,0.1,0.05,0.037,0.05,0.037,0.037,0.05,0.037,0.063,0.1,0.075,0.025,0.063,0.037,0.163,0.25,0.2,0.125,0.2,0.2,0.237,0.3,0.087,0.087,0.05
6407368008,1109087,Consumption,09/03/2017,No,0.05,0.025,0.063,0.013,0.05,0.037,0.037,0.037,0.037,0.037,0.025,0.05,0.025,0.037,0.025,0.05,0.013,0.138,0.075,0.037,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.1,0.063,0.037,0.412,0.087,0.063,0.125,0.138,0.1,0.087,0.05,0.037,0.163,0.25,0.287,0.3,0.25,0.212,0.188,0.15,0.087
6407368008,1109087,Consumption,10/03/2017,No,0.075,0.075,0.013,0.075,0.037,0.05,0.05,0.025,0.063,0.013,0.063,0.025,0.05,0.037,0.05,0.05,0.037,0.05,0.025,0.063,0.063,0.175,0.05,0.025,0.063,0.013,0.063,0.025,0.05,0.025,0.063,0.113,0.075,0.037,0.063,0.037,0.063,0.063,0.15,0.3,0.138,0.05,0.575,0.725,0.35,0.163,0.075,0.075
6407368008,1109087,Consumption,11/03/2017,No,0.063,0.05,0.037,0.063,0.037,0.037,0.125,0.075,0.063,0.013,0.075,0.025,0.037,0.05,0.013,0.063,0.025,0.05,0.037,0.025,0.05,0.025,0.05,0.05,0.05,0.037,0.025,0.05,0.05,0.063,0.013,0.05,0.037,0.037,0.087,0.075,0.05,0.025,0.087,0.237,0.2,0.338,0.275,0.275,0.212,0.063,0.05,0.025
6407368008,1109087,Consumption,12/03/2017,No,0.063,0.013,0.063,0.025,0.05,0.037,0.025,0.05,0.025,0.063,0.025,0.037,0.037,0.025,0.05,0.025,0.05,0.025,0.037,0.138,0.125,0.087,0.05,0.113,0.05,0.075,0.113,0.063,0.575,0.1,0.5,0.138,0.087,0.1,0.063,0.037,0.087,0.037,0.125,0.138,0.2,0.163,0.138,0.087,0.087,0.037,0.063,0.037
6407368008,1109087,Consumption,13/03/2017,No,0.05,0.05,0.037,0.05,0.025,0.063,0.013,0.063,0.013,0.05,0.025,0.125,0.075,0.037,0.05,0.025,0.05,0.138,0.175,0.025,0.05,0.2,0.225,0.2,0.175,0.037,0.05,0.037,0.063,0.025,0.063,0.025,0.075,0.025,0.05,0.037,0.05,0.05,0.025,0.275,0.287,0.287,0.125,0.188,0.188,0.163,0.138,0.075
6407368008,1109087,Consumption,14/03/2017,No,0.037,0.075,0.025,0.063,0.025,0.063,0.025,0.063,0.013,0.063,0.025,0.05,0.025,0.05,0.037,0.037,0.05,0.025,0.063,0.013,0.138,0.075,0.05,0.037,0.037,0.05,0.087,0.063,0.025,0.037,0.063,0.3,0.8,0.212,0.037,0.075,0.063,0.075,0.725,0.35,0.188,0.163,0.287,0.188,0.2,0.113,0.138,0.1
6407368008,1109087,Consumption,15/03/2017,No,0.2,0.15,0.125,0.125,0.1,0.125,0.1,0.113,0.125,0.087,0.113,0.113,0.087,0.125,0.1,0.138,0.125,0.025,0.087,0.037,0.037,0.05,0.025,0.05,0.05,0.075,0.063,0.362,0.113,0.588,0.725,0.688,0.25,0.55,0.738,0.738,0.762,0.65,0.35,0.55,0.125,0.163,0.163,0.212,0.188,0.163,0.188,0.175
6407368008,1109087,Consumption,16/03/2017,No,0.212,0.138,0.05,0.063,0.037,0.063,0.037,0.05,0.05,0.037,0.05,0.037,0.05,0.05,0.025,0.063,0.05,0.163,0.138,0.063,0.188,0.138,0.138,0.087,0.113,0.075,0.138,0.4,0.075,0.225,0.163,0.163,0.113,0.138,0.1,0.05,0.263,0.25,0.313,0.163,0.237,0.25,0.225,0.237,0.163,0.05,0.063,0.063
